ID,Gender,Age,Edu,Inc,Emp,Monthly_Spend,Retail_Platform,Adv,Soc,Grat,Ide,Rol,Val,Eff,Ach,MAH_1,filter_$,Spend,Occupation
368,1.0,1.0,2.0,2.0,1.0,2.0,1.0,16.666.666.666.666.600,2.25,1.0,1.0,1.75,1.0,3.0,4.0,13.977.360.310.752.600,1.0,3.0,3.0
41,2.0,1.0,2.0,2.0,1.0,2.0,0.0,5.0,2.0,5.0,4.0,5.0,2.75,2.5,4.666.666.666.666.660,1.400.734.745.893.930,1.0,2.0,3.0
325,2.0,2.0,2.0,2.0,1.0,2.0,1.0,33.333.333.333.333.300,1.75,16.666.666.666.666.600,3.0,3.0,4.0,3.5,23.333.333.333.333.300,14.135.185.646.357.500,1.0,2.0,3.0
198,2.0,2.0,1.0,2.0,2.0,2.0,0.0,4.333.333.333.333.330,3.75,2.0,5.0,4.25,3.5,4.5,4.0,14.140.498.116.826.900,1.0,2.0,4.0
93,2.0,1.0,2.0,1.0,4.0,1.0,0.0,4.333.333.333.333.330,3.5,26.666.666.666.666.600,1.0,4.25,2.0,5.0,4.333.333.333.333.330,14.144.180.529.475.400,1.0,1.0,6.0
203,2.0,1.0,2.0,1.0,1.0,2.0,0.0,4.0,2.25,36.666.666.666.666.600,2.5,4.0,4.5,1.5,3.0,1.426.789.478.334.820,1.0,2.0,3.0
61,1.0,1.0,2.0,1.0,2.0,2.0,1.0,23.333.333.333.333.300,2.0,1.0,1.0,3.5,2.5,1.5,2.0,14.342.605.617.445.600,1.0,2.0,4.0
60,1.0,1.0,2.0,2.0,1.0,2.0,0.0,4.333.333.333.333.330,4.5,5.0,4.0,3.5,2.0,5.0,5.0,143.567.492.990.839,1.0,2.0,3.0
335,1.0,1.0,2.0,1.0,0,1.0,0.0,36.666.666.666.666.600,4.5,23.333.333.333.333.300,1.5,4.25,5.0,5.0,5.0,14.410.128.058.621.300,1.0,1.0,
34,1.0,1.0,1.0,1.0,0,2.0,1.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,14.510.287.065.749.000,1.0,2.0,
361,1.0,1.0,2.0,2.0,1.0,2.0,0.0,33.333.333.333.333.300,1.5,3.0,4.0,4.5,3.0,5.0,5.0,14.571.510.283.545.900,1.0,2.0,1.0
7,1.0,2.0,2.0,2.0,0,2.0,1.0,26.666.666.666.666.600,3.25,1.0,4.0,3.75,2.5,2.5,33.333.333.333.333.300,14.688.944.454.546.000,1.0,3.0,0
167,2.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,3.0,4.75,3.25,5.0,4.666.666.666.666.660,14.737.665.207.368.300,1.0,1.0,6.0
332,1.0,1.0,2.0,1.0,1.0,2.0,0.0,26.666.666.666.666.600,3.75,1.0,3.5,4.0,3.5,5.0,5.0,14.764.986.586.925.000,1.0,2.0,3.0
268,2.0,1.0,1.0,1.0,0,2.0,0.0,5.0,2.75,36.666.666.666.666.600,5.0,5.0,2.75,3.0,33.333.333.333.333.300,14.929.879.965.161.500,1.0,2.0,
144,2.0,2.0,2.0,2.0,1.0,2.0,0.0,4.666.666.666.666.660,3.0,4.0,1.5,4.75,1.25,3.5,4.333.333.333.333.330,15.242.895.363.502.300,1.0,2.0,3.0
4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.333.333.333.333.330,4.75,4.333.333.333.333.330,3.0,3.0,5.0,5.0,5.0,1.535.515.782.456.900,1.0,1.0,3.0
87,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,2.5,1.0,3.0,3.0,2.5,5.0,5.0,15.374.581.366.359.900,1.0,1.0,6.0
346,1.0,1.0,1.0,1.0,4.0,1.0,0.0,2.0,2.25,1.0,1.0,2.5,1.0,5.0,36.666.666.666.666.600,15.835.845.243.336.600,1.0,1.0,6.0
331,1.0,2.0,1.0,1.0,1.0,2.0,0.0,4.333.333.333.333.330,1.75,26.666.666.666.666.600,2.5,4.5,4.75,4.5,4.333.333.333.333.330,1.609.754.489.256.870,1.0,2.0,2.0
58,2.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,2.25,5.0,5.0,4.0,2.0,4.0,5.0,16.235.989.293.756.000,1.0,2.0,2.0
315,1.0,1.0,2.0,1.0,4.0,1.0,0.0,4.666.666.666.666.660,4.5,26.666.666.666.666.600,1.0,4.0,2.0,5.0,5.0,16.500.040.678.723.800,1.0,1.0,6.0
46,2.0,1.0,2.0,2.0,1.0,1.0,1.0,33.333.333.333.333.300,4.0,4.0,1.0,5.0,4.25,4.0,5.0,1.651.336.928.541.540,1.0,1.0,1.0
188,2.0,2.0,2.0,2.0,1.0,2.0,0.0,33.333.333.333.333.300,2.75,16.666.666.666.666.600,4.0,4.25,4.75,5.0,5.0,16.600.381.767.388.100,1.0,2.0,3.0
385,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,23.333.333.333.333.300,16.604.596.614.691.100,1.0,1.0,3.0
273,1.0,1.0,1.0,1.0,0,1.0,0.0,26.666.666.666.666.600,1.75,1.0,1.0,1.0,2.0,1.0,2.0,17.076.284.451.295.900,1.0,1.0,
130,1.0,2.0,2.0,2.0,1.0,1.0,0.0,4.0,4.5,1.0,3.0,4.5,2.0,5.0,4.333.333.333.333.330,1.724.568.840.902.810,1.0,1.0,2.0
350,1.0,2.0,2.0,1.0,1.0,1.0,0.0,16.666.666.666.666.600,1.0,1.0,1.0,1.0,1.0,1.5,1.0,17.392.890.730.574.400,1.0,1.0,2.0
276,1.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,13.333.333.333.333.300,3.0,1.75,2.25,2.5,13.333.333.333.333.300,17.550.447.092.758.400,1.0,1.0,3.0
324,1.0,1.0,2.0,2.0,4.0,1.0,1.0,23.333.333.333.333.300,2.0,1.0,1.0,2.0,1.0,5.0,36.666.666.666.666.600,1.757.122.266.585.960,1.0,1.0,6.0
105,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,2.25,16.666.666.666.666.600,1.0,4.25,2.5,3.0,33.333.333.333.333.300,17.745.360.309.723.700,1.0,1.0,3.0
369,1.0,1.0,2.0,1.0,4.0,1.0,0.0,16.666.666.666.666.600,4.0,1.0,1.0,3.0,1.0,3.0,4.333.333.333.333.330,1.793.580.064.977.440,1.0,1.0,6.0
22,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.948.881.608.548.000,1.0,3.0,4.0
344,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.948.881.608.548.000,1.0,1.0,4.0
365,1.0,0,2.0,2.0,1.0,2.0,1.0,3.0,3.75,1.0,2.5,1.5,1.5,3.0,33.333.333.333.333.300,18.222.653.627.935.300,1.0,3.0,1.0
1,2.0,1.0,2.0,2.0,4.0,2.0,1.0,36.666.666.666.666.600,2.5,5.0,4.5,5.0,1.5,2.0,4.666.666.666.666.660,1.845.421.909.530.790,1.0,3.0,6.0
298,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.5,23.333.333.333.333.300,3.0,3.5,1.25,1.5,23.333.333.333.333.300,18.481.324.931.648.500,1.0,2.0,2.0
274,2.0,2.0,1.0,1.0,1.0,1.0,1.0,23.333.333.333.333.300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.655.241.950.035.200,1.0,1.0,3.0
143,1.0,2.0,2.0,2.0,1.0,1.0,1.0,16.666.666.666.666.600,3.25,3.0,3.0,4.5,2.0,2.0,23.333.333.333.333.300,19.566.052.028.823.000,1.0,1.0,3.0
